,year,division,match_id,half_type,play_time,goal_range
138,2013,1,2013-1-055,2,18,4
139,2013,1,2013-1-055,2,47,5
140,2013,1,2013-1-056,2,15,4
141,2013,1,2013-1-057,1,11,0
142,2013,1,2013-1-057,2,26,4
143,2013,1,2013-1-059,1,37,2
144,2013,1,2013-1-059,2,20,4
145,2013,1,2013-1-061,2,16,4
146,2013,1,2013-1-061,2,22,4
147,2013,1,2013-1-061,2,25,4
148,2013,1,2013-1-061,2,39,5
149,2013,1,2013-1-062,1,10,0
150,2013,1,2013-1-062,1,45,2
151,2013,1,2013-1-063,1,6,0
152,2013,1,2013-1-063,1,38,2
153,2013,1,2013-1-063,2,34,5
154,2013,1,2013-1-063,2,40,5
155,2013,1,2013-1-063,2,42,5
156,2013,1,2013-1-064,2,8,3
157,2013,1,2013-1-065,1,40,2
158,2013,1,2013-1-066,2,35,5
159,2013,1,2013-1-067,1,7,0
160,2013,1,2013-1-067,2,40,5
161,2013,1,2013-1-068,1,21,1
162,2013,1,2013-1-068,2,26,4
163,2013,1,2013-1-068,2,45,5
164,2013,1,2013-1-068,2,49,5
165,2013,1,2013-1-069,2,29,4
166,2013,1,2013-1-070,1,33,2
167,2013,1,2013-1-071,1,13,0
168,2013,1,2013-1-071,2,8,3
169,2013,1,2013-1-071,2,28,4
170,2013,1,2013-1-071,2,34,5
171,2013,1,2013-1-072,2,19,4
172,2013,1,2013-1-073,1,17,1
173,2013,1,2013-1-073,1,35,2
174,2013,1,2013-1-073,2,31,5
175,2013,1,2013-1-073,2,47,5
176,2013,1,2013-1-074,2,7,3
177,2013,1,2013-1-074,2,25,4
178,2013,1,2013-1-074,2,46,5
179,2013,1,2013-1-076,1,31,2
180,2013,1,2013-1-076,1,43,2
181,2013,1,2013-1-076,2,10,3
182,2013,1,2013-1-077,1,41,2
183,2013,1,2013-1-077,2,27,4
184,2013,1,2013-1-077,2,34,5
185,2013,1,2013-1-077,2,37,5
186,2013,1,2013-1-078,1,15,1
187,2013,1,2013-1-078,1,32,2
188,2013,1,2013-1-078,2,26,4
189,2013,1,2013-1-079,1,12,0
190,2013,1,2013-1-079,2,18,4
191,2013,1,2013-1-079,2,23,4
192,2013,1,2013-1-080,1,24,1
193,2013,1,2013-1-080,1,27,1
194,2013,1,2013-1-080,2,37,5
195,2013,1,2013-1-081,1,32,2
196,2013,1,2013-1-081,1,44,2
197,2013,1,2013-1-081,2,17,4
198,2013,1,2013-1-081,2,25,4
199,2013,1,2013-1-081,2,34,5
200,2013,1,2013-1-082,1,41,2
201,2013,1,2013-1-083,1,3,0
202,2013,1,2013-1-083,2,7,3
203,2013,1,2013-1-084,1,28,1
204,2013,1,2013-1-084,2,46,5
205,2013,1,2013-1-085,1,12,0
206,2013,1,2013-1-085,2,2,3
207,2013,1,2013-1-085,2,22,4
208,2013,1,2013-1-085,2,44,5
209,2013,1,2013-1-085,2,47,5
210,2013,1,2013-1-086,1,43,2
211,2013,1,2013-1-086,2,8,3
212,2013,1,2013-1-087,1,12,0
213,2013,1,2013-1-087,2,8,3
214,2013,1,2013-1-087,2,49,5
215,2013,1,2013-1-088,1,35,2
216,2013,1,2013-1-088,1,36,2
217,2013,1,2013-1-088,2,7,3
218,2013,1,2013-1-088,2,22,4
219,2013,1,2013-1-088,2,26,4
220,2013,1,2013-1-088,2,49,5
221,2013,1,2013-1-089,1,17,1
222,2013,1,2013-1-089,1,37,2
223,2013,1,2013-1-089,2,8,3
224,2013,1,2013-1-089,2,16,4
225,2013,1,2013-1-090,1,19,1
226,2013,1,2013-1-090,1,37,2
227,2013,1,2013-1-090,1,40,2
228,2013,1,2013-1-090,2,2,3
229,2013,1,2013-1-090,2,12,3
230,2013,1,2013-1-090,2,39,5
231,2013,1,2013-1-090,2,46,5
232,2013,1,2013-1-090,2,48,5
233,2013,1,2013-1-091,2,41,5
234,2013,1,2013-1-092,1,18,1
235,2013,1,2013-1-092,1,26,1
236,2013,1,2013-1-092,1,39,2
237,2013,1,2013-1-092,2,8,3
238,2013,1,2013-1-092,2,10,3
239,2013,1,2013-1-094,2,16,4
240,2013,1,2013-1-095,1,4,0
241,2013,1,2013-1-095,1,5,0
242,2013,1,2013-1-095,1,32,2
243,2013,1,2013-1-095,1,34,2
244,2013,1,2013-1-095,1,36,2
245,2013,1,2013-1-095,2,18,4
246,2013,1,2013-1-095,2,33,5
247,2013,1,2013-1-095,2,45,5
248,2013,1,2013-1-095,2,47,5
249,2013,1,2013-1-096,1,5,0
250,2013,1,2013-1-096,1,28,1
251,2013,1,2013-1-096,2,5,3
252,2013,1,2013-1-096,2,13,3
253,2013,1,2013-1-096,2,29,4
254,2013,1,2013-1-097,1,29,1
255,2013,1,2013-1-097,1,33,2
256,2013,1,2013-1-097,1,43,2
257,2013,1,2013-1-097,1,46,2
258,2013,1,2013-1-097,2,3,3
259,2013,1,2013-1-097,2,10,3
260,2013,1,2013-1-097,2,17,4
261,2013,1,2013-1-097,2,38,5
262,2013,1,2013-1-098,1,2,0
263,2013,1,2013-1-098,1,31,2
264,2013,1,2013-1-098,1,47,2
265,2013,1,2013-1-098,2,7,3
266,2013,1,2013-1-098,2,12,3
267,2013,1,2013-1-098,2,20,4
268,2013,1,2013-1-099,1,18,1
269,2013,1,2013-1-099,1,27,1
270,2013,1,2013-1-099,2,13,3
271,2013,1,2013-1-100,2,39,5
272,2013,1,2013-1-101,1,9,0
273,2013,1,2013-1-101,1,26,1
274,2013,1,2013-1-101,2,17,4
275,2013,1,2013-1-101,2,39,5
276,2013,1,2013-1-102,1,31,2
277,2013,1,2013-1-102,2,17,4
278,2013,1,2013-1-102,2,28,4
279,2013,1,2013-1-103,1,14,0
280,2013,1,2013-1-103,2,17,4
281,2013,1,2013-1-103,2,39,5
282,2013,1,2013-1-104,1,0,0
283,2013,1,2013-1-104,1,30,2
284,2013,1,2013-1-105,1,45,2
285,2013,1,2013-1-105,2,12,3
286,2013,1,2013-1-105,2,25,4
287,2013,1,2013-1-105,2,32,5
288,2013,1,2013-1-106,1,42,2
289,2013,1,2013-1-106,2,21,4
290,2013,1,2013-1-106,2,23,4
291,2013,1,2013-1-106,2,32,5
292,2013,1,2013-1-106,2,34,5
293,2013,1,2013-1-107,1,33,2
294,2013,1,2013-1-107,2,3,3
295,2013,1,2013-1-107,2,13,3
296,2013,1,2013-1-107,2,29,4
297,2013,1,2013-1-108,1,39,2
298,2013,1,2013-1-108,2,26,4
299,2013,1,2013-1-109,2,42,5
300,2013,1,2013-1-110,2,6,3
301,2013,1,2013-1-110,2,14,3
302,2013,1,2013-1-110,2,20,4
303,2013,1,2013-1-110,2,47,5
304,2013,1,2013-1-111,1,4,0
305,2013,1,2013-1-111,1,14,0
306,2013,1,2013-1-111,2,30,5
307,2013,1,2013-1-111,2,41,5
308,2013,1,2013-1-111,2,42,5
309,2013,1,2013-1-112,1,24,1
310,2013,1,2013-1-112,1,29,1
311,2013,1,2013-1-112,1,31,2
312,2013,1,2013-1-112,2,26,4
313,2013,1,2013-1-115,1,28,1
314,2013,1,2013-1-115,1,36,2
315,2013,1,2013-1-115,1,43,2
316,2013,1,2013-1-115,2,4,3
317,2013,1,2013-1-115,2,30,5
318,2013,1,2013-1-115,2,49,5
319,2013,1,2013-1-116,1,34,2
320,2013,1,2013-1-116,2,37,5
321,2013,1,2013-1-117,1,3,0
322,2013,1,2013-1-117,1,9,0
323,2013,1,2013-1-118,1,20,1
324,2013,1,2013-1-118,1,40,2
325,2013,1,2013-1-118,2,16,4
326,2013,1,2013-1-120,1,36,2
327,2013,1,2013-1-120,1,44,2
328,2013,1,2013-1-120,2,10,3
329,2013,1,2013-1-120,2,18,4
330,2013,1,2013-1-121,1,43,2
331,2013,1,2013-1-121,2,4,3
332,2013,1,2013-1-121,2,32,5
333,2013,1,2013-1-122,2,18,4
334,2013,1,2013-1-122,2,41,5
335,2013,1,2013-1-122,2,45,5
336,2013,1,2013-1-123,1,2,0
337,2013,1,2013-1-123,1,23,1
338,2013,1,2013-1-123,2,8,3
339,2013,1,2013-1-124,2,9,3
340,2013,1,2013-1-124,2,42,5
341,2013,1,2013-1-125,2,23,4
342,2013,1,2013-1-125,2,40,5
343,2013,1,2013-1-126,1,1,0
344,2013,1,2013-1-126,1,21,1
345,2013,1,2013-1-126,2,30,5
346,2013,1,2013-1-127,2,13,3
347,2013,1,2013-1-128,1,14,0
348,2013,1,2013-1-128,2,12,3
349,2013,1,2013-1-129,1,45,2
350,2013,1,2013-1-130,1,24,1
351,2013,1,2013-1-130,2,4,3
352,2013,1,2013-1-130,2,11,3
353,2013,1,2013-1-130,2,13,3
354,2013,1,2013-1-131,1,6,0
355,2013,1,2013-1-131,2,1,3
356,2013,1,2013-1-131,2,39,5
357,2013,1,2013-1-132,1,27,1
358,2013,1,2013-1-133,1,41,2
359,2013,1,2013-1-134,2,24,4
360,2013,1,2013-1-135,1,37,2
361,2013,1,2013-1-135,2,50,5
362,2013,1,2013-1-136,1,17,1
363,2013,1,2013-1-137,2,16,4
364,2013,1,2013-1-138,1,12,0
365,2013,1,2013-1-138,1,24,1
366,2013,1,2013-1-138,1,48,2
367,2013,1,2013-1-139,1,21,1
368,2013,1,2013-1-139,1,25,1
369,2013,1,2013-1-139,2,7,3
370,2013,1,2013-1-139,2,32,5
371,2013,1,2013-1-140,1,11,0
372,2013,1,2013-1-140,2,23,4
373,2013,1,2013-1-140,2,33,5
374,2013,1,2013-1-140,2,45,5
375,2013,1,2013-1-141,1,27,1
376,2013,1,2013-1-141,1,39,2
377,2013,1,2013-1-141,2,5,3
378,2013,1,2013-1-141,2,20,4
379,2013,1,2013-1-141,2,25,4
380,2013,1,2013-1-141,2,34,5
381,2013,1,2013-1-143,1,29,1
382,2013,1,2013-1-143,2,8,3
383,2013,1,2013-1-143,2,34,5
384,2013,1,2013-1-144,2,35,5
385,2013,1,2013-1-145,1,7,0
386,2013,1,2013-1-145,1,30,2
387,2013,1,2013-1-145,2,6,3
388,2013,1,2013-1-145,2,16,4
389,2013,1,2013-1-146,1,19,1
390,2013,1,2013-1-146,1,21,1
391,2013,1,2013-1-146,2,37,5
392,2013,1,2013-1-146,2,39,5
393,2013,1,2013-1-146,2,44,5
394,2013,1,2013-1-147,1,43,2
395,2013,1,2013-1-147,2,6,3
396,2013,1,2013-1-147,2,9,3
397,2013,1,2013-1-147,2,25,4
398,2013,1,2013-1-148,1,11,0
399,2013,1,2013-1-148,1,44,2
400,2013,1,2013-1-148,2,16,4
401,2013,1,2013-1-148,2,25,4
402,2013,1,2013-1-149,1,3,0
403,2013,1,2013-1-149,1,42,2
404,2013,1,2013-1-149,2,25,4
405,2013,1,2013-1-150,1,19,1
406,2013,1,2013-1-150,1,40,2
407,2013,1,2013-1-150,2,35,5
408,2013,1,2013-1-150,2,41,5
409,2013,1,2013-1-151,1,7,0
410,2013,1,2013-1-151,1,20,1
411,2013,1,2013-1-151,1,40,2
412,2013,1,2013-1-151,2,4,3
413,2013,1,2013-1-151,2,46,5
414,2013,1,2013-1-152,2,14,3
415,2013,1,2013-1-153,2,2,3
416,2013,1,2013-1-153,2,18,4
417,2013,1,2013-1-154,2,29,4
418,2013,1,2013-1-155,1,16,1
419,2013,1,2013-1-155,1,41,2
420,2013,1,2013-1-155,2,3,3
421,2013,1,2013-1-155,2,36,5
422,2013,1,2013-1-156,1,27,1
423,2013,1,2013-1-156,2,22,4
424,2013,1,2013-1-156,2,26,4
425,2013,1,2013-1-156,2,41,5
426,2013,1,2013-1-156,2,48,5
427,2013,1,2013-1-158,2,2,3
428,2013,1,2013-1-159,2,20,4
429,2013,1,2013-1-159,2,35,5
430,2013,1,2013-1-159,2,43,5
431,2013,1,2013-1-160,2,24,4
432,2013,1,2013-1-160,2,34,5
433,2013,1,2013-1-161,2,36,5
434,2013,1,2013-1-162,1,6,0
435,2013,1,2013-1-162,2,39,5
436,2013,1,2013-1-163,1,24,1
437,2013,1,2013-1-163,1,40,2
438,2013,1,2013-1-163,2,18,4
439,2013,1,2013-1-163,2,30,5
440,2013,1,2013-1-164,1,26,1
441,2013,1,2013-1-164,1,32,2
442,2013,1,2013-1-164,2,26,4
443,2013,1,2013-1-165,2,12,3
444,2013,1,2013-1-166,2,30,5
445,2013,1,2013-1-166,2,34,5
446,2013,1,2013-1-168,1,34,2
447,2013,1,2013-1-168,2,14,3
448,2013,1,2013-1-168,2,25,4
449,2013,1,2013-1-168,2,27,4
450,2013,1,2013-1-168,2,44,5
451,2013,1,2013-1-169,2,31,5
452,2013,1,2013-1-170,1,3,0
453,2013,1,2013-1-170,2,23,4
454,2013,1,2013-1-171,1,36,2
455,2013,1,2013-1-171,2,11,3
456,2013,1,2013-1-171,2,15,4
457,2013,1,2013-1-172,1,23,1
458,2013,1,2013-1-172,1,35,2
459,2013,1,2013-1-172,2,23,4
460,2013,1,2013-1-172,2,41,5
461,2013,1,2013-1-173,2,23,4
462,2013,1,2013-1-173,2,44,5
463,2013,1,2013-1-174,1,1,0
464,2013,1,2013-1-174,2,21,4
465,2013,1,2013-1-174,2,28,4
466,2013,1,2013-1-174,2,48,5
467,2013,1,2013-1-175,2,12,3
468,2013,1,2013-1-175,2,16,4
469,2013,1,2013-1-177,1,43,2
470,2013,1,2013-1-177,2,40,5
471,2013,1,2013-1-177,2,47,5
472,2013,1,2013-1-178,1,6,0
473,2013,1,2013-1-179,1,0,0
474,2013,1,2013-1-180,1,30,2
475,2013,1,2013-1-180,2,16,4
476,2013,1,2013-1-181,1,18,1
477,2013,1,2013-1-181,1,32,2
478,2013,1,2013-1-181,1,40,2
479,2013,1,2013-1-182,1,20,1
480,2013,1,2013-1-182,1,33,2
481,2013,1,2013-1-182,2,48,5
482,2013,1,2013-1-183,1,7,0
483,2013,1,2013-1-183,2,6,3
484,2013,1,2013-1-183,2,13,3
485,2013,1,2013-1-184,1,6,0
486,2013,1,2013-1-184,1,30,2
487,2013,1,2013-1-184,2,46,5
488,2013,1,2013-1-186,1,37,2
489,2013,1,2013-1-187,2,7,3
490,2013,1,2013-1-187,2,19,4
491,2013,1,2013-1-187,2,30,5
492,2013,1,2013-1-187,2,42,5
493,2013,1,2013-1-188,1,10,0
494,2013,1,2013-1-188,1,21,1
495,2013,1,2013-1-189,2,1,3
496,2013,1,2013-1-190,2,23,4
497,2013,1,2013-1-190,2,43,5
498,2013,1,2013-1-191,1,35,2
499,2013,1,2013-1-191,2,27,4
500,2013,1,2013-1-192,2,5,3
501,2013,1,2013-1-192,2,9,3
502,2013,1,2013-1-193,1,10,0
503,2013,1,2013-1-193,2,24,4
504,2013,1,2013-1-193,2,43,5
505,2013,1,2013-1-194,2,47,5
506,2013,1,2013-1-195,1,27,1
507,2013,1,2013-1-196,1,35,2
508,2013,1,2013-1-196,1,44,2
509,2013,1,2013-1-197,1,34,2
510,2013,1,2013-1-197,1,41,2
511,2013,1,2013-1-198,1,2,0
512,2013,1,2013-1-198,1,8,0
513,2013,1,2013-1-198,2,22,4
514,2013,1,2013-1-199,1,8,0
515,2013,1,2013-1-199,1,27,1
516,2013,1,2013-1-200,1,23,1
517,2013,1,2013-1-200,1,26,1
518,2013,1,2013-1-200,2,16,4
519,2013,1,2013-1-200,2,35,5
520,2013,1,2013-1-201,1,38,2
521,2013,1,2013-1-201,2,27,4
522,2013,1,2013-1-201,2,31,5
523,2013,1,2013-1-201,2,48,5
524,2013,1,2013-1-202,2,1,3
525,2013,1,2013-1-202,2,25,4
526,2013,1,2013-1-204,1,29,1
527,2013,1,2013-1-204,2,24,4
528,2013,1,2013-1-204,2,42,5
529,2013,1,2013-1-205,1,31,2
530,2013,1,2013-1-205,1,39,2
531,2013,1,2013-1-205,2,4,3
532,2013,1,2013-1-205,2,8,3
533,2013,1,2013-1-206,2,33,5
534,2013,1,2013-1-207,1,0,0
535,2013,1,2013-1-207,2,29,4
536,2013,1,2013-1-207,2,39,5
537,2013,1,2013-1-207,2,48,5
538,2013,1,2013-1-208,2,10,3
539,2013,1,2013-1-210,1,24,1
540,2013,1,2013-1-210,1,33,2
541,2013,1,2013-1-210,2,21,4
542,2013,1,2013-1-211,1,28,1
543,2013,1,2013-1-211,2,36,5
544,2013,1,2013-1-212,1,0,0
545,2013,1,2013-1-212,1,5,0
546,2013,1,2013-1-212,1,9,0
547,2013,1,2013-1-213,2,13,3
548,2013,1,2013-1-213,2,37,5
549,2013,1,2013-1-215,2,41,5
550,2013,1,2013-1-216,2,24,4
551,2013,1,2013-1-216,2,48,5
552,2013,1,2013-1-217,1,10,0
553,2013,1,2013-1-217,2,7,3
554,2013,1,2013-1-217,2,32,5
555,2013,1,2013-1-218,1,45,2
556,2013,1,2013-1-219,1,3,0
557,2013,1,2013-1-219,2,1,3
558,2013,1,2013-1-219,2,7,3
559,2013,1,2013-1-219,2,36,5
560,2013,1,2013-1-219,2,42,5
561,2013,1,2013-1-220,1,13,0
